name,company,role,twitter,linkedIn
"Ahad Ali","Lak3","Director of Communication","",""
"Vlad Svitanko","Cryptorsy.io","Founder & CEO","","https://www.linkedin.com/in/vlad-svitanko/"
"Lennu Keinänen","Once Mining","Co-Founder","",""
"Matt Sullivan","MoonPay","Deputy General Counsel and Head of Ireland","","https://www.linkedin.com/in/matt-sullivan-3605b030/?originalSubdomain=ie"
"Jannah Patchay","Digital Pound Foundation","Director & Policy Lead","","https://www.linkedin.com/in/jannahpatchay/"
"Alizée Carli","Casper Association","Director of Strategy and Ecosystem Growth","","https://www.linkedin.com/in/alizeecarli/"
"Hervé Larren","Horizen Labs & ApeCoin DAO","Senior Advisor","",""
"Jan Smejkal","XVerse","CSO","","https://www.linkedin.com/in/yourchinaguy/"
"Kevin Plumpton","KyrrEx","CEO","","https://www.linkedin.com/in/kevin-plumpton/"
"Laurent Chemla","Web3 Audience","Digital Entrepreneur and Web3 Investor","",""
"Jon Eglisson","Monerium","Co-Founder & Chairman","","https://www.linkedin.com/in/egilsson/"
"Stijn Paumen","Helio","Founder & CEO","","https://www.linkedin.com/in/stijn-paumen-ab0808/"
"Amos Meiri","Node Capital","Founding Partner","","https://www.linkedin.com/in/amos-meiri-23002945/"
"Christoph Kampitsch","Scytale","CEO","",""
"Alice Stork","ICL Communications","Co-Founder of ICL Communications; Former BizDev Lead at Cointelegraph","","https://www.linkedin.com/in/alicezhura/"
"Pankhuri Bansal","United Nations","Blockchain & AI Expert","","https://www.linkedin.com/in/pankhuri-bansal-54097318/"
"Stefania Barbaglio","Cassiopeia Services","Founder and Director","","https://www.linkedin.com/in/stefaniabarbaglio/"
"Itai Elizur","MarketAcross","COO & Partner at MarketAcross & InboundJunction","https://twitter.com/itaielizur?lang=en","https://www.linkedin.com/in/itai-elizur/"
"Victoria Chynoweth","Forbes Digital Assets","Contributor","https://twitter.com/VictoriaVk2022","https://www.linkedin.com/in/victoria-chynoweth/"
"Daniel Porat","MarketAcross","VP Strategy and Head of Ecosystem Growth","","https://www.linkedin.com/in/danielporat/?originalSubdomain=il"
"Xavier Gomez","","Crypto and Blockchain advisor","","https://www.linkedin.com/in/xavier-gomez-xg/?originalSubdomain=fr"
"Marc Baumann","Dematerialzd.xyz","Founder","","https://www.linkedin.com/in/marcphilippeb/"
"Patrice Poujol","Lumiere","Founder & CEO","","https://www.linkedin.com/in/pulsefilms/"
"Eric Piscini","Swirlds Labs","CRO and COO","","https://www.linkedin.com/in/ericpiscini/"
"Przemysław Kral","Zonda Crypto","CEO","",""
"Lou Kerner","CryptoOracle Collective","Founder","","https://www.linkedin.com/in/loukerner/"
"Androux Reabow","BananaSZN","Co-Founder & CEO","","https://www.linkedin.com/in/androuxreabow/"
"Alessio Quaglini","Hex Trust","CEO & Co-Founder","",""
"Mel Gelderman","Token.com","Co-Founder & CEO","",""
"Guido Buehler","Zonda Crypto","Non-Executive Member of the Management Board at zondacrypto","",""
"Jacques-André Fines-Schlumberger","Blockchain for Good","Operational Manager","","https://www.linkedin.com/in/jafscv/"
"Matteo Rizzi","FTS Group","Co-Founder","https://twitter.com/matteorizzi","https://www.linkedin.com/in/matteorizzi/"
"Sheraz Ahmed","STORM Partners","Managing Partner","",""
"Jean-Christophe Liaubet","EY FABERNOVEL","Partner","","https://www.linkedin.com/in/jcliaubet/?originalSubdomain=fr"
"Lisa Cameron","UK  Parliament","Member of Parliament","",""
"Nicolas Biagosch","Q Protocol","Co-initiator","","https://www.linkedin.com/in/nicolas-biagosch/"
"Marc Tillement","Pyth Data Association","Director","",""
"Etiënne VantKruys","TRGC","Founder and Managing Partner","","https://www.linkedin.com/in/evtkruys/"
"Erina Penkovsky","Allnodes","Director of Corporate Strategy & Partnership","","https://www.linkedin.com/in/erinapenkovsky/?originalSubdomain=ca"
"Dan Danay","Check Point","Head of Web3 Security","","https://www.linkedin.com/in/dandanay/"
"Niraj Pant","Ritual.","Co-Founder","","https://www.linkedin.com/in/nirajpant/"
"Arnaud Caudoux","BPI","Deputy CEO (Finance","",""
"Tan Bin Ru","Blockchain Association of Singapore (BAS) / President ST Engineering","Chairwoman","","https://www.linkedin.com/in/tanbinru/?originalSubdomain=sg"
"Neil Cunha-Gomes","SoftBank Vision Fund","Head of EMEA Fintech","","https://www.linkedin.com/in/neil-cunha-gomes-89998a14?originalSubdomain=uk"
"Mercina Tillemann Perez","Circle","VP of Circle Impact","","https://www.linkedin.com/in/mercina-tillemann-perez-62530743/"
"Marina Baudéan","21Shares","MD","","https://www.linkedin.com/in/marina-baud%C3%A9an/"
"Benjamin Roth","Auros","CIO and Founder",""," https://www.linkedin.com/in/benjamin-roth-06154566/"
"Ryan Condron","Lumerin","Co-Founder","",""
"Quentin Werlé","6 Monks (6M)","Head of Portfolio Management","","https://www.linkedin.com/in/quentin-werle"
"Rémi Bouton","Wiseband","Head of Strategy and Public Relations","","https://www.linkedin.com/in/rbouton/?originalSubdomain=fr"
"Sonia Shaw","CoinW","President","","https://www.linkedin.com/in/sonia-shaw/"
"Maha Al-Saadi","Qatar Financial Centre Authority","Head of Regulatory Affairs","","https://www.linkedin.com/in/mahaalsaadi/"
"Jessica Renier","Institute of International Finance","Managing Director","","https://www.linkedin.com/in/jessica-renier-67ba06b/"
"Antoni Zolciak","Aleph Zero","Co-Founder","","https://www.linkedin.com/in/antonizolciak/"
"Mark Foster","Crypto Council for Innovation","EU Policy Lead","",""
"Mark Fielding","Culture3 / Thinking On Paper","Emerging Tech Journalist & Podcaster ","https://twitter.com/markfielding99",
"Oliver Anyanwu","The SIA Foundation","Developer Relations","","https://www.linkedin.com/in/oliver-anyanwu/?originalSubdomain=uk"
"Clara Guerra","Office for Financial Market Innovation and Digitisation","Director","",""
"Juliette Souliman","Portage","President","",""
"Tomer Niv","Entrée Capital","Crypto & Web3 Investor","","https://www.linkedin.com/in/tomer-niv/"
"Yana Abramova","Pretiosum Ventures","Founder and GP","","https://www.linkedin.com/in/yana-abramova"
"Clarisse Hagège","Dfns","Co-Founder & CEO","","https://www.linkedin.com/in/clarissehagege/"
"Eitan Katz","Kima","Co-Founder & CEO","","https://www.linkedin.com/in/eitankatz/"
"Fernando Martinho","Relayz","Co-Founder & CEO","","https://www.linkedin.com/in/fernando-martinho/?originalSubdomain=uk"
"Brian Rose","London Real","Founder & Host","","https://www.linkedin.com/in/brian-benedict-rose/"
"Kelly Ferraro","Grit Daily","Events Columnist","","https://www.linkedin.com/in/kellyanugent/"
"David S. Bennahum","READYgg","CEO","https://twitter.com/dbennahum","https://www.linkedin.com/in/dbennahum/"
"Ian Putter","Standard Bank","Head of the Blockchain Centre of Excellence","","https://www.linkedin.com/in/ian-putter-06727964/?originalSubdomain=za"
"Sarah Endline","Harvard Business School","Executive Fellow & Entrepreneur in Residence at Harvard Business School & CEO of Sazzy","","https://www.linkedin.com/in/sarahendline/"
"Shahaf Bar-Geffen","Coti Group","CEO","","https://www.linkedin.com/in/shahafbg/"
"Olivier Laborde","BPCE","Innovation Leader / Head of Marketing","",""
"Amanda Wick","Incite Consulting","Principal","https://twitter.com/Amanda_S_Wick","https://www.linkedin.com/in/amandawick/"
"Yaniv Nissenboim","Hexagate","CEO","","https://www.linkedin.com/in/yaniv-nissenboim-2647162/"
"Guy Itzhaki","Fhenix","CEO","","https://www.linkedin.com/in/guy-itzhaki/"
"Christophe de la Celle","Selini Capital","Chief Commercial Officer","","https://www.linkedin.com/in/christophe-de-la-celle-366a764b/?originalSubdomain=ch"
"Gregory Jessner","Narval","Co-Founder & CEO","","https://www.linkedin.com/in/gregory-jessner-06202820/"
"Iri Zohar","Bring","Founder & CEO","https://twitter.com/i/flow/login?redirect_after_login=%2Firizohar","https://www.linkedin.com/in/irizohar/"
"David Johansson","MetaKing Studios","Founder & CEO","","https://www.linkedin.com/in/david-johansson-9954a238/?originalSubdomain=se"
"Nicolas Vaiman","Bubblemaps","CEO","","https://www.linkedin.com/in/nicolasvaiman/?originalSubdomain=fr"
"Doug Levin","DOWSERS","CEO","","https://www.linkedin.com/in/bduck1/"
"Nataniel Elkaim","v3ntures","Partner","",""
"Anke Liu","Stellar Development Foundation","Ecosystem Growth Lead","","https://www.linkedin.com/in/ankeliu/"
"Thomas Klocanas","BlockTower","General Partner & Head of Venture","","https://www.linkedin.com/in/tklocanas"
"Giorgio Rota","VeChain","Business Developer","",""
"Marina Ferrari","","French Secretary of State for Digital Affairs","",""
"Mihailo Bjelic","Polygon","Co-Founder","https://twitter.com/MihailoBjelic","https://www.linkedin.com/in/mihailo-bjelic-33aaa764/"
"Leon Marshall","Galaxy Digital","CEO of Galaxy Europe and Global Head of Sales","","https://www.linkedin.com/in/leon-marshall-a99b823a/"
"Claire Calmejane","Leia Capital","Investor","","https://www.linkedin.com/in/clairecalmejane/?originalSubdomain=fr"
"Uldis Tēraudkalns","Nexpay","CEO","",""
"Thammarak Moenjak","London Office Bank of Thailand","Chief Representative","","https://www.linkedin.com/in/thammarak-moenjak/"
"Julian Martinez","Stellar Development Foundation","Senior Developer Advocate","","https://www.linkedin.com/in/julian-martinez28/"
"Peter Kerstens","European Commission","Technological Innovation","",""
"Jon Cinque","Anza","Developer Infrastructure","","https://www.linkedin.com/in/joncinque/"
"Nick Frostbutter","Solana Foundation","Developer Advocate","","https://www.linkedin.com/in/nickfrostbutter/"
"Tyler van der Hoeven","Stellar Development Foundation","Ecosystem Engineer","","https://www.linkedin.com/in/tyvdh/"
"Jeff Hasselman","926 Ventures","Founder","","https://www.linkedin.com/in/jeffhasselman/"
"Sébastien Borget","The Sandbox","Co-Founder & COO","","https://www.linkedin.com/in/borgetsebastien/?originalSubdomain=fr"
"Joël-Alexis Bialkiewicz","Delubac","Founder and CEO of Delupay","",""
"Michael Kong","Fantom Foundation","CEO & CIO","",""
"Luther Maday","MoneyGram","Head of Fintech Strategy and Innovation","",""
"Zaf Khan","AZTEQ Metaverse","Chief Marketing Officer","",""
"Faustine Fleuret","Adan","President","","https://www.linkedin.com/in/faustine-fleuret-640b67a4/"
"George Basiladze","Wert","Founder & CEO","","https://www.linkedin.com/in/georgebasiladze/"
"Stephan Dreyer","Association of National Numbering Agencies (ANNA)","Managing Director","","https://www.linkedin.com/in/stephandreyer71/"
"Daria Bogatyreva","Wert","Co-Founder","","https://www.linkedin.com/in/daria-bogatyreva-714aa399/"
"Daniel Fogg","RootstockLabs","CEO","",""
"Arius XYZ","PlayFi.ai","Founder","",""
"Holger Fisher","Concordium","Head of Ecosystem","",""
"Sunny Lu","VeChain","CEO","","https://www.linkedin.com/in/sunny-lu-55456915/?originalSubdomain=sm"
"Boğaçhan Yiğitbaşı","Concordium","Technical Product Manager","",""
"Jason Tigas","Ripple","Developer Advocate","","https://www.linkedin.com/in/jivey99/?originalSubdomain=ca"
